race,gest,year,sex,births
NHB,34,2013,F,6041
NHB,35,2013,F,8687
NHB,36,2013,F,14606
NHB,37,2013,F,28268
NHB,38,2013,F,49051
NHB,39,2013,F,80166
NHB,40,2013,F,48864
NHB,41,2013,F,19761
NHB,42,2013,F,6754
NHB,43,2013,F,3929
NHB,44,2013,F,2106
NHB,45,2013,F,1133
NHB,46,2013,F,621
NHB,47,2013,F,389
NHB,99,2013,F,308
NHW,17,2013,F,49
NHW,18,2013,F,53
NHW,19,2013,F,96
NHW,20,2013,F,178
NHW,21,2013,F,281
NHW,22,2013,F,331
NHW,23,2013,F,481
NHW,24,2013,F,686
NHW,25,2013,F,829
NHW,26,2013,F,924
NHW,27,2013,F,1198
NHW,28,2013,F,1543
NHW,29,2013,F,2066
NHW,30,2013,F,2832
NHW,31,2013,F,3701
NHW,32,2013,F,5199
NHW,33,2013,F,7762
NHW,34,2013,F,13190
NHW,35,2013,F,21059
NHW,36,2013,F,38135
NHW,37,2013,F,79893
NHW,38,2013,F,153543
NHW,39,2013,F,322621
NHW,40,2013,F,218158
NHW,41,2013,F,99328
NHW,42,2013,F,30718
NHW,43,2013,F,15223
NHW,44,2013,F,7882
NHW,45,2013,F,4161
NHW,46,2013,F,2311
NHW,47,2013,F,1435
NHW,99,2013,F,705
NHB,17,2013,M,85
NHB,18,2013,M,129
NHB,19,2013,M,183
NHB,20,2013,M,256
NHB,21,2013,M,285
NHB,22,2013,M,409
NHB,23,2013,M,518
NHB,24,2013,M,700
NHB,25,2013,M,716
NHB,26,2013,M,861
NHB,27,2013,M,869
NHB,28,2013,M,1047
NHB,29,2013,M,1290
NHB,30,2013,M,1664
NHB,31,2013,M,2052
NHB,32,2013,M,2684
NHB,33,2013,M,3949
NHB,34,2013,M,6393
NHB,35,2013,M,9133
NHB,36,2013,M,15588
NHB,37,2013,M,30482
NHB,38,2013,M,51753
NHB,39,2013,M,82005
NHB,40,2013,M,48768
NHB,41,2013,M,19640
NHB,42,2013,M,6635
NHB,43,2013,M,3829
NHB,44,2013,M,2154
NHB,45,2013,M,1057
NHB,46,2013,M,578
NHB,47,2013,M,383
NHB,99,2013,M,331
NHW,17,2013,M,75
NHW,18,2013,M,94
NHW,19,2013,M,140
NHW,20,2013,M,230
NHW,21,2013,M,339
NHW,22,2013,M,401
NHW,23,2013,M,577
NHW,24,2013,M,814
NHW,25,2013,M,948
NHW,26,2013,M,1056
NHW,27,2013,M,1356
NHW,28,2013,M,1861
NHW,29,2013,M,2363
NHW,30,2013,M,3248
NHW,31,2013,M,4207
NHW,32,2013,M,6161
NHW,33,2013,M,8897
NHW,34,2013,M,15319
NHW,35,2013,M,24055
NHW,36,2013,M,43715
NHW,37,2013,M,89767
NHW,38,2013,M,170297
NHW,39,2013,M,336465
NHW,40,2013,M,219033
NHW,41,2013,M,98638
NHW,42,2013,M,30583
NHW,43,2013,M,15156
NHW,44,2013,M,8012
NHW,45,2013,M,4196
NHW,46,2013,M,2323
NHW,47,2013,M,1435
NHW,99,2013,M,864
NHB,17,2014,F,35
NHB,18,2014,F,86
NHB,19,2014,F,143
NHB,20,2014,F,187
NHB,21,2014,F,268
NHB,22,2014,F,311
NHB,23,2014,F,489
NHB,24,2014,F,644
NHB,25,2014,F,700
NHB,26,2014,F,787
NHB,27,2014,F,869
NHB,28,2014,F,1080
NHB,29,2014,F,1255
NHB,30,2014,F,1572
NHB,31,2014,F,1978
NHB,32,2014,F,2498
NHB,33,2014,F,3688
NHB,34,2014,F,6158
NHB,35,2014,F,8814
NHB,36,2014,F,15000
NHB,37,2014,F,29192
NHB,38,2014,F,48442
NHB,39,2014,F,80841
NHB,40,2014,F,49181
NHB,41,2014,F,20461
NHB,42,2014,F,7102
NHB,43,2014,F,4067
NHB,44,2014,F,2219
NHB,45,2014,F,1127
NHB,46,2014,F,630
NHB,47,2014,F,444
NHB,99,2014,F,238
NHW,17,2014,F,37
NHW,18,2014,F,50
NHW,19,2014,F,123
NHW,20,2014,F,200
NHW,21,2014,F,263
NHW,22,2014,F,341
NHW,23,2014,F,524
NHW,24,2014,F,630
NHW,25,2014,F,832
NHW,26,2014,F,1061
NHW,27,2014,F,1191
NHW,28,2014,F,1637
NHW,29,2014,F,2040
NHW,30,2014,F,2745
NHW,31,2014,F,3651
NHW,32,2014,F,5322
NHW,33,2014,F,7569
NHW,34,2014,F,13677
NHW,35,2014,F,20923
NHW,36,2014,F,38742
NHW,37,2014,F,81966
NHW,38,2014,F,151581
NHW,39,2014,F,323235
NHW,40,2014,F,222543
NHW,41,2014,F,102280
NHW,42,2014,F,31130
NHW,43,2014,F,15072
NHW,44,2014,F,8037
NHW,45,2014,F,4314
NHW,46,2014,F,2380
NHW,47,2014,F,1464
NHW,99,2014,F,546
NHB,17,2014,M,80
NHB,18,2014,M,124
NHB,19,2014,M,185
NHB,20,2014,M,278
NHB,21,2014,M,330
NHB,22,2014,M,412
NHB,23,2014,M,466
NHB,24,2014,M,637
NHB,25,2014,M,721
NHB,26,2014,M,810
NHB,27,2014,M,882
NHB,28,2014,M,1092
NHB,29,2014,M,1355
NHB,30,2014,M,1608
